payment_id,order_id,payment_method,status,paid_at
140,140,paypal,paid,2025-11-15T12:44:45
141,141,bank_transfer,pending,2025-11-16T11:45:33
142,142,bank_transfer,paid,2025-11-15T01:42:19
143,143,credit_card,paid,2025-11-15T07:42:03
144,144,paypal,paid,2025-11-17T07:51:10
145,145,bank_transfer,paid,2025-11-15T12:57:35
146,146,credit_card,pending,2025-11-14T20:44:44
147,147,bank_transfer,paid,2025-11-15T01:44:06
148,148,gift_card,paid,2025-11-15T17:48:47
149,149,bank_transfer,paid,2025-11-14T18:45:24
150,150,gift_card,paid,2025-11-16T05:54:02
151,151,credit_card,paid,2025-11-16T05:56:16
152,152,gift_card,paid,2025-11-15T11:53:26
153,153,paypal,paid,2025-11-17T02:55:05
154,154,bank_transfer,pending,2025-11-16T07:46:03
155,155,paypal,failed,2025-11-16T11:54:56
156,156,credit_card,paid,2025-11-16T14:44:09
157,157,credit_card,paid,2025-11-16T07:57:29
158,158,paypal,paid,2025-11-16T01:54:42
159,159,gift_card,paid,2025-11-15T03:50:19
160,160,paypal,paid,2025-11-16T20:41:54
161,161,bank_transfer,pending,2025-11-16T08:53:25
162,162,gift_card,paid,2025-11-15T15:48:11
163,163,bank_transfer,paid,2025-11-17T08:55:55
164,164,gift_card,paid,2025-11-17T06:55:57
165,165,paypal,paid,2025-11-17T07:48:50
166,166,credit_card,paid,2025-11-15T18:53:09
167,167,gift_card,paid,2025-11-14T21:44:10
168,168,credit_card,paid,2025-11-16T03:53:19
169,169,bank_transfer,paid,2025-11-16T22:53:01
170,170,bank_transfer,paid,2025-11-16T13:42:51
171,171,paypal,paid,2025-11-14T20:54:22
172,172,credit_card,paid,2025-11-16T13:50:12
173,173,bank_transfer,paid,2025-11-16T16:47:15
174,174,credit_card,paid,2025-11-15T06:44:57
175,175,bank_transfer,paid,2025-11-16T17:56:18
176,176,paypal,pending,2025-11-17T14:43:54
177,177,gift_card,paid,2025-11-15T16:48:01
178,178,credit_card,paid,2025-11-17T07:41:30
179,179,gift_card,paid,2025-11-15T08:42:30
180,180,paypal,paid,2025-11-17T09:52:10
181,181,bank_transfer,pending,2025-11-16T08:49:05
182,182,bank_transfer,paid,2025-11-15T11:45:04
183,183,gift_card,paid,2025-11-16T10:47:47
184,184,credit_card,paid,2025-11-16T05:43:07
185,185,credit_card,paid,2025-11-16T14:47:51
186,186,credit_card,paid,2025-11-16T20:48:09
187,187,paypal,paid,2025-11-17T03:48:44
188,188,paypal,paid,2025-11-14T21:51:59
189,189,gift_card,paid,2025-11-17T10:45:49
190,190,paypal,pending,2025-11-15T09:40:52
191,191,credit_card,paid,2025-11-14T19:50:14
192,192,bank_transfer,paid,2025-11-15T15:45:43
193,193,paypal,paid,2025-11-16T20:45:13
194,194,gift_card,paid,2025-11-16T19:49:20
195,195,paypal,paid,2025-11-14T22:46:44
196,196,gift_card,paid,2025-11-17T14:44:32
197,197,paypal,paid,2025-11-17T10:41:39
198,198,bank_transfer,pending,2025-11-17T01:45:16
199,199,bank_transfer,paid,2025-11-17T12:41:17
200,200,paypal,paid,2025-11-17T04:53:00
