order_id,user_id,order_date,total_amount
102,71,2025-11-14T14:46:46,1875.92
103,22,2025-11-14T14:47:38,1810.46
104,34,2025-11-14T14:45:17,1393.08
105,68,2025-11-14T14:53:16,1568.63
106,78,2025-11-14T14:57:54,1220.11
107,55,2025-11-14T14:50:05,1947.25
108,28,2025-11-14T14:46:23,2233.59
109,70,2025-11-14T14:49:33,3022.64
110,97,2025-11-14T14:57:13,1572.53
111,94,2025-11-14T14:50:51,1848.87
112,89,2025-11-14T14:52:20,2122.62
113,26,2025-11-14T14:44:42,2034.33
114,92,2025-11-14T14:56:46,1306.53
115,40,2025-11-14T14:43:21,1788.76
116,52,2025-11-14T14:45:35,2634.63
117,86,2025-11-14T14:48:29,1540.14
118,84,2025-11-14T14:54:20,1127.34
119,48,2025-11-14T14:53:16,1340.07
120,57,2025-11-14T14:43:51,2097.5
121,67,2025-11-14T14:54:15,175.27
122,58,2025-11-14T14:41:15,3154.2
123,16,2025-11-14T14:49:48,1495.91
124,32,2025-11-14T14:45:00,2062.99
125,29,2025-11-14T14:56:18,2120.58
126,9,2025-11-14T14:53:21,1398.61
127,44,2025-11-14T14:49:43,1818.25
128,3,2025-11-14T14:53:47,2821.86
129,76,2025-11-14T14:53:27,284.86
130,71,2025-11-14T14:44:28,243.36
131,30,2025-11-14T14:48:45,2534.84
132,76,2025-11-14T14:56:52,1039.56
133,29,2025-11-14T14:41:38,2061.63
134,1,2025-11-14T14:51:58,846.41
135,10,2025-11-14T14:48:20,1817.84
136,91,2025-11-14T14:42:56,980.7
137,81,2025-11-14T14:56:37,1073.9
138,8,2025-11-14T14:51:05,1380.69
139,30,2025-11-14T14:54:43,2970.65
140,9,2025-11-14T14:44:45,2263.83
141,5,2025-11-14T14:45:33,744.76
142,43,2025-11-14T14:42:19,989.9
143,10,2025-11-14T14:42:03,598.36
144,66,2025-11-14T14:51:10,2038.8
145,31,2025-11-14T14:57:35,631.1
146,36,2025-11-14T14:44:44,581.93
147,86,2025-11-14T14:44:06,1018.21
148,63,2025-11-14T14:48:47,1198.62
149,28,2025-11-14T14:45:24,2063.72
150,70,2025-11-14T14:54:02,138.31
151,17,2025-11-14T14:56:16,2725.25
152,93,2025-11-14T14:53:26,2522.3
153,74,2025-11-14T14:55:05,3171.15
154,74,2025-11-14T14:46:03,157.39
155,61,2025-11-14T14:54:56,2051.97
156,32,2025-11-14T14:44:09,3191.38
157,61,2025-11-14T14:57:29,1589.32
158,53,2025-11-14T14:54:42,2744.64
159,25,2025-11-14T14:50:19,1471.83
160,13,2025-11-14T14:41:54,2115.69
161,13,2025-11-14T14:53:25,1470.08
162,85,2025-11-14T14:48:11,842.12
163,56,2025-11-14T14:55:55,2367.56
164,46,2025-11-14T14:55:57,1726.73
165,55,2025-11-14T14:48:50,2058.71
166,53,2025-11-14T14:53:09,1318.84
167,60,2025-11-14T14:44:10,2429.6
168,94,2025-11-14T14:53:19,403.13
169,7,2025-11-14T14:53:01,3272.83
170,87,2025-11-14T14:42:51,1987.14
171,84,2025-11-14T14:54:22,2184.62
172,83,2025-11-14T14:50:12,1187.73
173,13,2025-11-14T14:47:15,250.32
174,8,2025-11-14T14:44:57,2437.88
175,52,2025-11-14T14:56:18,3429.45
176,94,2025-11-14T14:43:54,1602.35
177,44,2025-11-14T14:48:01,1018.98
178,14,2025-11-14T14:41:30,2047.69
179,32,2025-11-14T14:42:30,572.4
180,25,2025-11-14T14:52:10,2096.98
181,25,2025-11-14T14:49:05,2551.98
182,69,2025-11-14T14:45:04,1928.63
183,58,2025-11-14T14:47:47,1963.64
184,18,2025-11-14T14:43:07,634.74
185,55,2025-11-14T14:47:51,563.4
186,24,2025-11-14T14:48:09,3115.86
187,36,2025-11-14T14:48:44,564.18
188,60,2025-11-14T14:51:59,1138.21
189,32,2025-11-14T14:45:49,373.77
190,10,2025-11-14T14:40:52,2436.5
191,57,2025-11-14T14:50:14,610.26
192,71,2025-11-14T14:45:43,2153.51
193,13,2025-11-14T14:45:13,1225.85
194,7,2025-11-14T14:49:20,1835.36
195,84,2025-11-14T14:46:44,2273.9
196,70,2025-11-14T14:44:32,1968.91
197,2,2025-11-14T14:41:39,795.78
198,12,2025-11-14T14:45:16,474.74
199,97,2025-11-14T14:41:17,1929.72
200,31,2025-11-14T14:53:00,2489.42
