order_item_id,order_id,product_id,quantity,item_price
105,105,46,3,382.07
106,106,22,3,250.69
107,107,6,2,276.53
108,108,25,2,432.72
109,109,5,4,438.38
110,110,35,4,106.88
111,111,14,4,372.2
112,112,50,5,120.09
113,113,2,5,363.17
114,114,1,3,308.57
115,115,25,4,418.74
116,116,48,5,484.41
117,117,15,4,330.91
118,118,28,4,35.72
119,119,22,4,242.84
120,120,30,2,540.05
121,121,35,1,117.56
122,122,38,5,329.72
123,123,6,4,275.63
124,124,30,2,448.37
125,125,25,3,391.6
126,126,21,3,425.67
127,127,25,3,436.51
128,128,27,3,310.27
129,129,31,1,126.22
130,130,4,3,52.67
131,131,5,1,469.34
132,132,16,2,152.22
133,133,40,2,221.59
134,134,31,1,121.77
135,135,14,4,395.79
136,136,50,3,102.92
137,137,39,1,386.25
138,138,11,3,253.22
139,139,2,3,377.71
140,140,25,4,452.25
141,141,13,1,413.14
142,142,41,2,455.41
143,143,50,3,117.97
144,144,39,1,387.6
145,145,37,1,315.82
146,146,28,3,36.03
147,147,42,3,311.95
148,148,27,4,267.85
149,149,24,4,45.83
150,150,28,2,41.27
151,151,42,3,353.65
152,152,35,4,107.95
153,153,47,5,131.16
154,154,16,1,136.25
155,155,29,2,123.71
156,156,37,5,336.74
157,157,22,1,232.16
158,158,21,2,403.52
159,159,23,3,471.15
160,160,39,3,370.0
161,161,34,2,78.42
162,162,47,4,137.22
163,163,49,2,455.53
164,164,42,4,342.06
165,165,2,1,356.76
166,166,26,2,426.12
167,167,38,3,317.6
168,168,34,3,84.24
169,169,48,5,441.53
170,170,45,4,112.96
171,171,17,2,442.49
172,172,13,3,374.8
173,173,35,2,102.0
174,174,48,4,436.57
175,175,38,5,325.49
176,176,7,2,18.95
177,177,24,2,42.27
178,178,46,5,373.37
179,179,3,1,116.72
180,180,45,2,121.64
181,181,49,4,403.92
182,182,1,5,307.65
183,183,31,4,116.4
184,184,4,3,60.66
185,185,31,1,127.98
186,186,26,4,405.54
187,187,41,1,460.34
188,188,37,3,298.75
189,189,16,1,144.21
190,190,27,5,296.38
191,191,40,2,246.71
192,192,25,4,449.51
193,193,20,5,192.44
194,194,20,5,179.5
195,195,40,1,254.75
196,196,14,2,362.69
197,197,6,2,281.82
198,198,36,1,328.19
199,199,27,4,301.8
200,200,31,3,108.99
201,1,19,3,55.02
202,2,30,1,511.14
203,3,17,5,494.26
204,4,13,4,374.42
205,5,15,2,379.22
206,6,10,1,327.77
207,7,20,5,183.99
208,8,37,3,321.82
209,9,30,3,512.36
210,10,18,5,56.03
211,11,29,1,120.12
212,12,28,3,40.25
213,13,2,1,351.9
214,14,44,5,392.03
215,15,2,3,377.74
216,16,49,2,436.21
217,17,42,4,374.4
218,18,12,5,224.44
219,19,32,1,192.0
220,20,27,3,280.38
221,21,7,2,19.08
222,22,45,4,113.37
223,23,26,5,402.22
224,24,6,3,282.57
225,25,8,4,128.94
226,26,1,5,319.07
227,27,4,2,55.95
228,28,40,4,239.68
229,29,49,1,412.78
230,30,36,2,382.54
231,31,29,4,108.89
232,32,41,5,524.43
233,33,46,2,388.23
234,34,1,5,315.6
235,35,15,1,347.88
236,36,8,2,120.13
237,37,46,3,404.22
238,38,18,4,59.31
239,39,31,2,119.19
240,40,10,4,337.19
241,41,39,5,383.94
242,42,9,1,17.33
243,43,27,3,316.05
244,44,33,3,340.15
245,45,19,3,56.44
246,46,38,4,342.64
247,47,29,5,117.44
248,48,22,5,244.64
249,49,25,4,451.54
250,50,13,2,411.5
251,51,15,4,318.58
252,52,48,4,475.76
253,53,25,4,456.15
254,54,42,2,345.32
255,55,3,2,115.54
256,56,38,3,342.92
257,57,29,1,118.42
258,58,30,1,514.6
259,59,27,2,266.06
260,60,17,3,490.62
261,61,26,1,474.49
262,62,44,5,376.07
263,63,21,4,434.66
264,64,3,5,105.52
265,65,41,3,544.04
266,66,48,1,450.96
267,67,7,1,19.53
268,68,45,3,127.93
269,69,3,3,122.33
270,70,19,3,51.55
271,71,10,2,361.67
272,72,37,2,304.28
273,73,6,5,319.34
274,74,40,2,233.71
275,75,38,2,302.21
276,76,41,3,490.81
277,77,43,1,371.32
278,78,30,3,510.18
279,79,11,1,271.55
280,80,23,5,467.14
281,81,28,3,39.09
282,82,20,2,192.76
283,83,31,1,113.91
284,84,37,3,330.65
285,85,45,3,107.06
286,86,43,4,328.37
287,87,37,1,352.53
288,88,48,4,487.42
289,89,19,2,54.0
290,90,23,2,499.99
291,91,40,3,242.13
292,92,47,2,141.06
293,93,41,1,475.9
294,94,29,1,119.68
295,95,47,2,126.26
296,96,19,3,55.49
297,97,12,2,210.63
298,98,35,3,109.38
299,99,18,2,52.89
300,100,31,3,126.16
301,101,22,1,230.95
302,102,5,2,469.33
303,103,15,4,383.34
304,104,36,3,323.52
305,105,26,1,422.42
306,106,8,4,117.01
307,107,48,3,464.73
308,108,41,3,456.05
309,109,15,4,317.28
310,110,36,3,381.67
311,111,15,1,360.07
312,112,30,3,507.39
313,113,8,2,109.24
314,114,3,3,126.94
315,115,8,1,113.8
316,116,35,2,106.29
317,117,24,5,43.3
318,118,48,2,492.23
319,119,42,1,368.71
320,120,40,4,254.35
321,121,18,1,57.71
322,122,14,4,376.4
323,123,16,3,131.13
324,124,44,3,388.75
325,125,42,3,315.26
326,126,18,2,60.8
327,127,30,1,508.72
328,128,42,5,378.21
329,129,4,3,52.88
330,130,9,5,17.07
331,131,49,5,413.1
332,132,14,2,367.56
333,133,10,5,323.69
334,134,10,2,362.32
335,135,12,1,234.68
336,136,2,2,335.97
337,137,16,5,137.53
338,138,12,3,207.01
339,139,48,4,459.38
340,140,48,1,454.83
341,141,50,3,110.54
342,142,7,4,19.77
343,143,40,1,244.45
344,144,43,5,330.24
345,145,42,1,315.28
346,146,31,4,118.46
347,147,7,4,20.59
348,148,29,1,127.22
349,149,21,5,376.08
350,150,9,3,18.59
351,151,38,5,332.86
352,152,25,5,418.1
353,153,30,5,503.07
354,154,7,1,21.14
355,155,42,5,360.91
356,156,14,4,376.92
357,157,15,4,339.29
358,158,30,4,484.4
359,159,7,3,19.46
360,160,43,3,335.23
361,161,10,4,328.31
362,162,6,1,293.24
363,163,48,3,485.5
364,164,36,1,358.49
365,165,36,5,340.39
366,166,8,4,116.65
367,167,43,4,369.2
368,168,47,1,150.41
369,169,39,3,355.06
370,170,37,5,307.06
371,171,43,4,324.91
372,172,7,3,21.11
373,173,24,1,46.32
374,174,37,2,345.8
375,175,36,5,360.4
376,176,42,5,312.89
377,177,43,3,311.48
378,178,18,3,60.28
379,179,23,1,455.68
380,180,10,5,370.74
381,181,5,2,468.15
382,182,2,1,390.38
383,183,14,4,374.51
384,184,22,2,226.38
385,185,47,3,145.14
386,186,37,5,298.74
387,187,4,2,51.92
388,188,40,1,241.96
389,189,18,4,57.39
390,190,32,5,190.92
391,191,18,2,58.42
392,192,8,3,118.49
393,193,19,5,52.73
394,194,43,3,312.62
395,195,26,5,403.83
396,196,14,3,414.51
397,197,50,2,116.07
398,198,19,3,48.85
399,199,32,4,180.63
400,200,25,5,432.49
